,Circle_1,Circle_2,Circle_3,Circle_4,Circle_5,Circle_6,Circle_7,Circle_8,Condition,Stimulus Color,RGB_1,RGB_2,RGB_3,RGB_4,RGB_5,RGB_6,RGB_7,RGB_8
0,0.5462430340861615,0.581790093,0.558322898,0.3513243049209342,0.4556144314106713,0.33668189496956036,0.6197399803993703,0.5451190075898882,Control,Control,"(115.70802630802882, 0, 139.29197369197118)","(106.64352616277722, 0, 148.35647383722278)","(112.62766113585805, 0, 142.37233886414197)","(165.41230224516175, 0, 89.58769775483822)","(138.8183199902788, 0, 116.18168000972119)","(169.1461167827621, 0, 85.8538832172379)","(96.96630499816058, 0, 158.03369500183942)","(115.99465306457851, 0, 139.0053469354215)"
1,0.589113547,0.700186896,0.42136294800058477,0.48584159989134357,0.46863926973527076,0.6669155335830137,0.43939730269927935,0.5903536857385699,Control,Control,"(104.77604550459931, 0, 150.22395449540068)","(76.45234148991076, 0, 178.54765851008924)","(147.5524482598509, 0, 107.44755174014912)","(131.11039202770738, 0, 123.88960797229261)","(135.49698621750593, 0, 119.50301378249404)","(84.9365389363315, 0, 170.06346106366848)","(142.95368781168378, 0, 112.04631218831624)","(104.45981013666466, 0, 150.54018986333534)"
2,0.3359919348456436,0.6117767783243127,0.5354884783810774,0.5645992207003608,0.41609457296939123,0.5622592935012687,0.6702004122143659,0.5438356462665098,Control,Control,"(169.3220566143609, 0, 85.67794338563913)","(98.99692152730027, 0, 156.0030784726997)","(118.45043801282527, 0, 136.54956198717474)","(111.02719872140798, 0, 143.97280127859202)","(148.89588389280524, 0, 106.10411610719477)","(111.62388015717649, 0, 143.37611984282353)","(84.0988948853367, 0, 170.9011051146633)","(116.32191020204, 0, 138.67808979796)"
3,0.4861090776425617,0.5565701521900903,0.3317459018169138,0.615198404,0.5234696751671767,0.5203817728394433,0.43903697265155256,0.6849321127212169,Control,Control,"(131.04218520114676, 0, 123.95781479885324)","(113.07461119152697, 0, 141.92538880847303)","(170.40479503668698, 0, 84.59520496331302)","(98.12440694080345, 0, 156.87559305919655)","(121.51523283236995, 0, 133.48476716763005)","(122.30264792594195, 0, 132.69735207405805)","(143.0455719738541, 0, 111.9544280261459)","(80.34231125608969, 0, 174.6576887439103)"
4,0.43222045056808367,0.3564557023388357,0.43603163347690405,0.4593686332896997,0.5927556222327497,0.6647226758593352,0.45981401969325053,0.6031888385617664,Control,Control,"(144.78378510513866, 0, 110.21621489486134)","(164.1037959035969, 0, 90.89620409640311)","(143.81193346338947, 0, 111.18806653661053)","(137.86099851112658, 0, 117.13900148887342)","(103.84731633064882, 0, 151.15268366935118)","(85.49571765586953, 0, 169.50428234413047)","(137.74742497822112, 0, 117.25257502177888)","(101.18684616674956, 0, 153.81315383325042)"
5,0.6335674840021639,0.3892796835583519,0.6758535050147888,0.47830011387456745,0.6665585018372134,0.5458744882847384,0.4366771150141189,0.5284357631890095,Control,Control,"(93.4402915794482, 0, 161.5597084205518)","(155.73368069262028, 0, 99.26631930737973)","(82.65735622122885, 0, 172.34264377877113)","(133.0334709619853, 0, 121.9665290380147)","(85.02758203151058, 0, 169.97241796848942)","(115.80200548739171, 0, 139.1979945126083)","(143.64733567139967, 0, 111.35266432860031)","(120.24888038680257, 0, 134.75111961319743)"
6,0.4201427587600448,0.6454835736352589,0.4887696675696914,0.5267814897737095,0.6934823615885729,0.37735436047914783,0.5069922941281334,0.5744921595970613,Control,Control,"(147.86359651618858, 0, 107.13640348381142)","(90.40168872300899, 0, 164.598311276991)","(130.3637347697287, 0, 124.63626523027132)","(120.67072010770407, 0, 134.32927989229594)","(78.16199779491392, 0, 176.8380022050861)","(158.77463807781731, 0, 96.2253619221827)","(125.71696499732599, 0, 129.283035002674)","(108.50449930274935, 0, 146.49550069725063)"
7,0.6902099082572588,0.3427435345265053,0.4392771259423303,0.6235875673436118,0.4746230105278038,0.5332778002869438,0.5212027048672074,0.5408404895602282,Control,Control,"(78.996473394399, 0, 176.003526605601)","(167.60039869574115, 0, 87.39960130425885)","(142.9843328847058, 0, 112.01566711529424)","(95.985170327379, 0, 159.014829672621)","(133.97113231541005, 0, 121.02886768458997)","(119.01416092682932, 0, 135.98583907317067)","(122.0933102588621, 0, 132.90668974113788)","(117.0856751621418, 0, 137.9143248378582)"
8,0.3517478510116407,0.5529543982234592,0.38402429564299256,0.6482926417651906,0.5033111941435303,0.4172297777448213,0.5471616973471092,0.6024209150966591,Control,Control,"(165.30429799203162, 0, 89.69570200796838)","(113.99662845301792, 0, 141.0033715469821)","(157.0738046110369, 0, 97.92619538896311)","(89.68537634987639, 0, 165.31462365012362)","(126.65564549339977, 0, 128.34435450660024)","(148.60640667507056, 0, 106.39359332492943)","(115.47376717648716, 0, 139.52623282351283)","(101.38266665035194, 0, 153.61733334964805)"
9,0.5356237568492734,0.5527267074161939,0.5896500211348307,0.5544183947031253,0.4865711658163808,0.7448877294989313,0.5355259956029373,0.35558360521792687,Control,Control,"(118.41594200343528, 0, 136.58405799656472)","(114.05468960887056, 0, 140.94531039112945)","(104.63924461061818, 0, 150.3607553893818)","(113.62330935070305, 0, 141.37669064929693)","(130.92435271682288, 0, 124.0756472831771)","(65.0536289777725, 0, 189.94637102222748)","(118.44087112125098, 0, 136.55912887874902)","(164.32618066942865, 0, 90.67381933057135)"
10,0.42305712109376264,0.46841308655531877,0.4944111122572756,0.5456936753298433,0.4746159471351723,0.45832898795256016,0.7233489899690747,0.6581582724494195,Control,Control,"(147.12043412109054, 0, 107.87956587890947)","(135.55466292839372, 0, 119.44533707160629)","(128.9251663743947, 0, 126.07483362560527)","(115.84811279088997, 0, 139.15188720911004)","(133.97293348053105, 0, 121.02706651946893)","(138.12610807209717, 0, 116.87389192790285)","(70.54600755788594, 0, 184.45399244211404)","(87.16964052539802, 0, 167.83035947460198)"
11,0.4370841647065541,0.6223738575748188,0.5674470432082708,0.3543063002865532,0.6924054987605648,0.5326202244029526,0.4718039377819907,0.4855490731817432,Control,Control,"(143.54353799982871, 0, 111.4564620001713)","(96.2946663184212, 0, 158.7053336815788)","(110.30100398189096, 0, 144.69899601810906)","(164.65189342692895, 0, 90.34810657307106)","(78.43659781605598, 0, 176.56340218394402)","(119.18184277724707, 0, 135.81815722275292)","(134.68999586559238, 0, 120.31000413440763)","(131.1849863386555, 0, 123.81501366134451)"
12,0.6298382062201209,0.5005062777290588,0.48633827197564133,0.5688292455266905,0.592391795,0.31903008987705683,0.5322631164615721,0.3786652304689204,Control,Control,"(94.39125741386917, 0, 160.60874258613083)","(127.37089917909002, 0, 127.62910082090998)","(130.9837406462115, 0, 124.01625935378854)","(109.94854239069393, 0, 145.05145760930606)","(103.9400923516956, 0, 151.0599076483044)","(173.6473270813505, 0, 81.35267291864949)","(119.27290530229912, 0, 135.7270946977009)","(158.4403662304253, 0, 96.5596337695747)"
13,0.525888783,0.5971294065938425,0.7760498244317379,0.49370629074555333,0.43203219214460126,0.48008415526688786,0.4835337546745135,0.5749857256779304,Control,Control,"(120.89836029169412, 0, 134.1016397083059)","(102.73200131857016, 0, 152.26799868142984)","(57.107294769906844, 0, 197.89270523009316)","(129.1048958598839, 0, 125.8951041401161)","(144.83179100312665, 0, 110.16820899687332)","(132.5785404069436, 0, 122.4214595930564)","(131.69889255799905, 0, 123.30110744200094)","(108.37863995212776, 0, 146.62136004787226)"
14,0.5227370116181367,0.6249004927623945,0.6089250536971669,0.4546415876144307,0.656061601,0.48410174637246794,0.5605075944938428,0.32858417245160976,Control,Control,"(121.70206203737514, 0, 133.29793796262484)","(95.65037434558941, 0, 159.34962565441057)","(99.72411130722244, 0, 155.27588869277756)","(139.06639515832015, 0, 115.93360484167982)","(87.70429177193208, 0, 167.29570822806792)","(131.55405467502067, 0, 123.44594532497932)","(112.07056340407009, 0, 142.9294365959299)","(171.2110360248395, 0, 83.78896397516048)"
15,0.5954550527607873,0.40812204700989846,0.5505087659378608,0.5773435719156286,0.322874285,0.5464028213487931,0.503254488,0.6520273966366791,Control,Control,"(103.15896154599925, 0, 151.84103845400074)","(150.92887801247588, 0, 104.07112198752411)","(114.6202646858455, 0, 140.37973531415452)","(107.77738916151472, 0, 147.22261083848528)","(172.66705737798287, 0, 82.33294262201713)","(115.66728055605775, 0, 139.33271944394224)","(126.67010555430458, 0, 128.32989444569543)","(88.73301385764684, 0, 166.26698614235318)"
